-2.000000000000000042e-02;-1.866115364750364214e-01;-1.040681646614000783e-02
-1.897959183673469247e-02;-1.770905397161059713e-01;-1.166253552215253814e-02
-1.795918367346938799e-02;-1.675695429571755768e-01;-1.272613854807955885e-02
-1.693877551020408351e-02;-1.580485461982451545e-01;-1.359762554392108039e-02
-1.591836734693877556e-02;-1.485275494393147044e-01;-1.427699650967710274e-02
-1.489795918367346934e-02;-1.390065526803842821e-01;-1.476425144534762243e-02
-1.387755102040816313e-02;-1.294855559214538321e-01;-1.505939035093263254e-02
-1.285714285714285691e-02;-1.199645591625234098e-01;-1.516241322643214172e-02
-1.183673469387755070e-02;-1.104435624035929875e-01;-1.507332007184614478e-02
-1.081632653061224449e-02;-1.009225656446625513e-01;-1.479211088717464692e-02
-9.795918367346938271e-03;-9.140156888573211513e-02;-1.431878567241764467e-02
-8.775510204081632057e-03;-8.188057212680169283e-02;-1.365334442757513977e-02
-7.755102040816325842e-03;-7.235957536787125666e-02;-1.279578715264713049e-02
-6.734693877551019628e-03;-6.283857860894083436e-02;-1.174611384763361507e-02
-5.714285714285713413e-03;-5.331758185001039818e-02;-1.050432451253459874e-02
-4.693877551020407199e-03;-4.379658509107996894e-02;-9.070419147350078024e-03
-3.673469387755100984e-03;-3.427558833214953971e-02;-7.444397752080053783e-03
-2.653061224489796505e-03;-2.475459157321912435e-02;-5.626260326724529491e-03
-1.632653061224488555e-03;-1.523359481428867603e-02;-3.616006871283494739e-03
-6.122448979591806062e-04;-5.712598055358229440e-03;-1.413637385756955599e-03
4.081632653061238736e-04;3.808398703572185053e-03;9.808481298550792565e-04
1.428571428571428353e-03;1.332939546250259955e-02;3.567449675552616765e-03
2.448979591836736303e-03;2.285039222143304613e-02;6.346167251335667336e-03
3.469387755102044252e-03;3.237138898036349272e-02;9.317000857204223163e-03
4.489795918367348732e-03;4.189238573929390808e-02;1.247995049315827124e-02
5.510204081632653211e-03;5.141338249822432344e-02;1.583501615919782196e-02
6.530612244897961161e-03;6.093437925715476655e-02;1.938219785532288575e-02
7.551020408163269110e-03;7.045537601608521661e-02;2.312149558153345913e-02
8.571428571428573590e-03;7.997637277501562503e-02;2.705290933782951782e-02
9.591836734693878069e-03;8.949736953394604733e-02;3.117643912421108610e-02
1.061224489795918602e-02;9.901836629287649738e-02;3.549208494067816744e-02
1.163265306122449397e-02;1.085393630518069336e-01;3.999984678723075143e-02
1.265306122448979845e-02;1.180603598107373559e-01;4.469972466386882420e-02
1.367346938775510293e-02;1.275813565696677643e-01;4.959171857059239963e-02
1.469387755102040741e-02;1.371023533285981866e-01;5.467582850740148465e-02
1.571428571428571883e-02;1.466233500875286644e-01;5.995205447429610007e-02
1.673469387755102331e-02;1.561443468464590867e-01;6.542039647127619040e-02
1.775510204081632779e-02;1.656653436053894812e-01;7.108085449834178338e-02
1.877551020408163920e-02;1.751863403643199590e-01;7.693342855549292758e-02
1.979591836734694368e-02;1.847073371232503813e-01;8.297811864272952587e-02
2.081632653061224816e-02;1.942283338821808036e-01;8.921492476005160599e-02
2.183673469387755264e-02;2.037493306411112259e-01;9.564384690745920958e-02
2.285714285714285712e-02;2.132703274000416205e-01;1.022648850849523228e-01
2.387755102040816854e-02;2.227913241589720983e-01;1.090780392925309872e-01
2.489795918367347302e-02;2.323123209179025206e-01;1.160833095301951057e-01
2.591836734693877750e-02;2.418333176768329429e-01;1.232806957979447060e-01
2.693877551020408892e-02;2.513543144357633929e-01;1.306701980957798714e-01
2.795918367346939340e-02;2.608753111946938152e-01;1.382518164237004910e-01
2.897959183673469788e-02;2.703963079536242375e-01;1.460255507817066201e-01
2.999999999999999889e-02;2.799173047125546043e-01;1.539914011697982310e-01
