-2.000000000000000042e-02;-0.000000000000000000e+00
-1.897959183673469247e-02;-6.179179589540936823e-02
-1.795918367346938799e-02;-1.235835917916200677e-01
-1.693877551020408351e-02;-1.853753876870294082e-01
-1.591836734693877556e-02;-2.471671835824388042e-01
-1.489795918367346934e-02;-3.089589794770469244e-01
-1.387755102040816313e-02;-3.707507753732576239e-01
-1.285714285714285691e-02;-4.325425712686669644e-01
-1.183673469387755070e-02;-4.943343671640763048e-01
-1.081632653061224449e-02;-5.561261630602870598e-01
-9.795918367346938271e-03;-6.179179589556963448e-01
-8.775510204081632057e-03;-6.797097548511057408e-01
-7.755102040816325842e-03;-7.415015507465152478e-01
-6.734693877551019628e-03;-8.032933466419245327e-01
-5.714285714285713413e-03;-8.650851425373339287e-01
-4.693877551020407199e-03;-9.268769384327432137e-01
-3.673469387755100984e-03;-9.886687343289538576e-01
-2.653061224489796505e-03;-1.050460530224363254e+00
-1.632653061224488555e-03;-1.112252326120574120e+00
-6.122448979591806062e-04;-1.174044122015182268e+00
4.081632653061238736e-04;-1.235835917911392690e+00
1.428571428571428353e-03;-1.297627713806001060e+00
2.448979591836736303e-03;-1.359419509702211482e+00
3.469387755102044252e-03;-1.421211305597620989e+00
4.489795918367348732e-03;-1.483003101493030496e+00
5.510204081632653211e-03;-1.544794897388439781e+00
6.530612244897961161e-03;-1.606586693284649980e+00
7.551020408163269110e-03;-1.668378489180059931e+00
8.571428571428573590e-03;-1.730170285074667857e+00
9.591836734693878069e-03;-1.791962080970878279e+00
1.061224489795918602e-02;-1.853753876866288008e+00
1.163265306122449397e-02;-1.915545672762498430e+00
1.265306122448979845e-02;-1.977337468657907715e+00
1.367346938775510293e-02;-2.039129264552515863e+00
1.469387755102040741e-02;-2.100921060447925370e+00
1.571428571428571883e-02;-2.162712856344136014e+00
1.673469387755102331e-02;-2.224504652239545965e+00
1.775510204081632779e-02;-2.286296448134955028e+00
1.877551020408163920e-02;-2.348088244030364535e+00
1.979591836734694368e-02;-2.409880039925773598e+00
2.081632653061224816e-02;-2.471671835821183105e+00
2.183673469387755264e-02;-2.533463631717393749e+00
2.285714285714285712e-02;-2.595255427612803256e+00
2.387755102040816854e-02;-2.657047223509013900e+00
2.489795918367347302e-02;-2.718839019403621826e+00
2.591836734693877750e-02;-2.780630815299832470e+00
2.693877551020408892e-02;-2.842422611195241977e+00
2.795918367346939340e-02;-2.904214407090651484e+00
2.897959183673469788e-02;-2.966006202986060991e+00
2.999999999999999889e-02;-3.027797998881470054e+00
